x,y,rho,V,Ex,Ey
0.015625,0.921875,6.75431235191e-26,1.55388209596e-05,-0.000992160639725,0.00020940648732
0.015625,0.9296875,1.78535051267e-26,1.39149408213e-05,-0.000888452006264,0.000206453371645
0.015625,0.9375,4.60535329134e-27,1.23129870277e-05,-0.000786150972925,0.000203796211592
0.015625,0.9453125,1.15930983078e-27,1.07306250152e-05,-0.000685107478397,0.000201440312174
0.015625,0.953125,2.84795545844e-28,9.16548214993e-06,-0.000585169085096,0.000199390154604
0.015625,0.9609375,6.82753561378e-29,7.61515384951e-06,-0.00048618136331,0.000197649471494
0.015625,0.96875,1.59731975555e-29,6.07720915784e-06,-0.000387988240334,0.000196221311844
0.015625,0.9765625,3.64684125591e-30,4.54919585195e-06,-0.000290432319711,0.000195108095868
0.015625,0.984375,8.12529173011e-31,3.02864515991e-06,-0.000193355175636,0.000194311659727
0.015625,0.9921875,1.76668114399e-31,1.51307616872e-06,-9.65976275639e-05,0.000193833290234
0.0234375,0.0078125,4.96204309538e-31,2.26649872282e-06,-9.61984598216e-05,-0.000290351463625
0.0234375,0.015625,2.28213494351e-30,4.53674161915e-06,-0.000192557465035,-0.000291069972476
0.0234375,0.0234375,1.02428123691e-29,6.81446704277e-06,-0.000289237328349,-0.000292266238299
0.0234375,0.03125,4.48636104547e-29,9.10340159257e-06,-0.000386397892214,-0.000293938361806
0.0234375,0.0390625,1.91763669784e-28,1.1407253946e-05,-0.000484198281441,-0.000296083632145
0.0234375,0.046875,7.99899731007e-28,1.37297083448e-05,-0.000582796641083,-0.000298698474918
0.0234375,0.0546875,3.25613105729e-27,1.60744176166e-05,-0.000682349854595,-0.000301778385165
0.0234375,0.0625,1.29349665495e-26,1.8444995613e-05,-0.000783013237269,-0.000305317845207
0.0234375,0.0703125,5.01447938944e-26,2.08450089479e-05,-0.000884940199844,-0.000309310227234
0.0234375,0.078125,1.89707062216e-25,2.32779679136e-05,-0.00098828187718,-0.000313747680528
0.0234375,0.0859375,7.00387286404e-25,2.57473164562e-05,-0.0010931867168,-0.000318621003286
0.0234375,0.09375,2.52342334685e-24,2.82564210899e-05,-0.00119980002208,-0.000323919499005
0.0234375,0.1015625,8.87235860736e-24,3.08085586281e-05,-0.00130826344487,-0.000329630817533
0.0234375,0.109375,3.04428399596e-23,3.34069026139e-05,-0.00141871442223,-0.000335740780973
0.0234375,0.1171875,1.01936178794e-22,3.60545083308e-05,-0.00153128555225,-0.000342233194794
0.0234375,0.125,3.33095405053e-22,3.87542962825e-05,-0.0016461039036,-0.000349089644687
0.0234375,0.1328125,1.06219937476e-21,4.15090340291e-05,-0.00176329025422,-0.000356289279977
0.0234375,0.140625,3.30552577914e-21,4.43213162822e-05,-0.00188295825414,-0.000363808584656
0.0234375,0.1484375,1.0038577193e-20,4.71935431643e-05,-0.00200521350838,-0.000371621137502
0.0234375,0.15625,2.97509531944e-20,5.01278965556e-05,-0.00213015257582,-0.000379697363139
0.0234375,0.1640625,8.60452129752e-20,5.31263144634e-05,-0.00225786188112,-0.000388004276413
0.0234375,0.171875,2.42856454513e-19,5.61904633746e-05,-0.0023884165369,-0.000396505222987
0.0234375,0.1796875,6.68913089331e-19,5.93217085725e-05,-0.00252187907507,-0.000405159619766
0.0234375,0.1875,1.79798823499e-18,6.25210824334e-05,-0.00265829808685,-0.000413922699396
0.0234375,0.1953125,4.71629654536e-18,6.57892507506e-05,-0.00279770677294,-0.000422745263996
0.0234375,0.203125,1.20729241008e-17,6.91264771834e-05,-0.00294012140666,-0.000431573454027
0.0234375,0.2109375,3.01592782271e-17,7.25325859698e-05,-0.00308553971544,-0.000440348539274
0.0234375,0.21875,7.35235595272e-17,7.60069231095e-05,-0.00323393918786,-0.000449006739792
0.0234375,0.2265625,1.74915869286e-16,7.9548316279e-05,-0.00338527531696,-0.000457479085763
0.0234375,0.234375,4.06096277278e-16,8.31550338246e-05,-0.00353947979295,-0.000465691326199
0.0234375,0.2421875,9.20080679579e-16,8.68247432509e-05,-0.00369645866263,-0.000473563897421
